"filename", "language", "TypeScript", "comment", "blank", "total"
"/home/generalegg/Project-P/blog-be/src/app.module.ts", "TypeScript", 15, -1, 1, 15
"/home/generalegg/Project-P/blog-be/src/common/decorator/current-user.decorator.ts", "TypeScript", 12, 1, 3, 16
"/home/generalegg/Project-P/blog-be/src/common/decorator/permissions.decorator.ts", "TypeScript", -4, -1, -1, -6
"/home/generalegg/Project-P/blog-be/src/common/decorator/sanitize.decorator.ts", "TypeScript", -11, 0, -1, -12
"/home/generalegg/Project-P/blog-be/src/common/entities/base-account.abstract.ts", "TypeScript", 16, 9, 3, 28
"/home/generalegg/Project-P/blog-be/src/common/filters/all-exceptions.filter.ts", "TypeScript", 38, 3, 8, 49
"/home/generalegg/Project-P/blog-be/src/common/interceptors/logging.interceptor.ts", "TypeScript", 29, 1, 6, 36
"/home/generalegg/Project-P/blog-be/src/common/services/cache-invalidation.service.ts", "TypeScript", 14, 3, 3, 20
"/home/generalegg/Project-P/blog-be/src/common/types/jwt-types.ts", "TypeScript", 1, 0, 0, 1
"/home/generalegg/Project-P/blog-be/src/config/namespaces/oauth.config.ts", "TypeScript", 8, 1, 2, 11
"/home/generalegg/Project-P/blog-be/src/config/strategies/google.strategy.ts", "TypeScript", 34, 5, 5, 44
"/home/generalegg/Project-P/blog-be/src/config/strategies/jwt-access.strategy.ts", "TypeScript", 2, 1, 1, 4
"/home/generalegg/Project-P/blog-be/src/config/typeorm.config.ts", "TypeScript", 17, 3, 6, 26
"/home/generalegg/Project-P/blog-be/src/main.ts", "TypeScript", 7, 2, 3, 12
"/home/generalegg/Project-P/blog-be/src/migrations/1781622946540-InitialSetup.ts", "TypeScript", 112, 0, 4, 116
"/home/generalegg/Project-P/blog-be/src/modules/admins/admins-cleanup.cron.ts", "TypeScript", 24, 2, 6, 32
"/home/generalegg/Project-P/blog-be/src/modules/admins/admins.controller.ts", "TypeScript", 5, 0, 1, 6
"/home/generalegg/Project-P/blog-be/src/modules/admins/admins.module.ts", "TypeScript", 1, 0, 0, 1
"/home/generalegg/Project-P/blog-be/src/modules/admins/admins.service.ts", "TypeScript", 61, 41, 11, 113
"/home/generalegg/Project-P/blog-be/src/modules/admins/dto/update-admin.dto.ts", "TypeScript", -2, 0, 0, -2
"/home/generalegg/Project-P/blog-be/src/modules/auth/auth.controller.ts", "TypeScript", -1, 0, 0, -1
"/home/generalegg/Project-P/blog-be/src/modules/auth/auth.module.ts", "TypeScript", 11, 0, 0, 11
"/home/generalegg/Project-P/blog-be/src/modules/auth/auth.service.ts", "TypeScript", 32, 44, 1, 77
"/home/generalegg/Project-P/blog-be/src/modules/auth/captcha.service.ts", "TypeScript", -2, 2, 0, 0
"/home/generalegg/Project-P/blog-be/src/modules/auth/device.service.ts", "TypeScript", -1, 1, 1, 1
"/home/generalegg/Project-P/blog-be/src/modules/auth/dto/register.dto.ts", "TypeScript", -6, 0, -1, -7
"/home/generalegg/Project-P/blog-be/src/modules/auth/entities/account-device.entity.ts", "TypeScript", 2, 0, 0, 2
"/home/generalegg/Project-P/blog-be/src/modules/health/health.controller.ts", "TypeScript", 34, 5, 5, 44
"/home/generalegg/Project-P/blog-be/src/modules/health/health.module.ts", "TypeScript", 2, 0, 0, 2
"/home/generalegg/Project-P/blog-be/src/modules/permissions/decorators/permissions.decorator.ts", "TypeScript", 4, 4, 3, 11
"/home/generalegg/Project-P/blog-be/src/modules/permissions/dto/create-permission.dto.ts", "TypeScript", -3, 0, 0, -3
"/home/generalegg/Project-P/blog-be/src/modules/permissions/entities/permission.entity.ts", "TypeScript", 10, 1, 2, 13
"/home/generalegg/Project-P/blog-be/src/modules/permissions/guards/permissions.guard.ts", "TypeScript", 11, 0, 2, 13
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.controller.ts", "TypeScript", 9, 0, 1, 10
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.module.ts", "TypeScript", 4, 0, 0, 4
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.service.ts", "TypeScript", 29, 42, 6, 77
"/home/generalegg/Project-P/blog-be/src/modules/roles/decorators/roles.decorator.ts", "TypeScript", 3, 0, 2, 5
"/home/generalegg/Project-P/blog-be/src/modules/roles/entities/role.entity.ts", "TypeScript", 9, 0, 3, 12
"/home/generalegg/Project-P/blog-be/src/modules/roles/guards/roles.guard.ts", "TypeScript", 38, 3, 10, 51
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.controller.ts", "TypeScript", 9, 0, 1, 10
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.module.ts", "TypeScript", 5, 0, 0, 5
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.service.ts", "TypeScript", 40, 47, 9, 96
"/home/generalegg/Project-P/blog-be/src/modules/users/dto/create-user.dto.ts", "TypeScript", 26, 0, 3, 29
"/home/generalegg/Project-P/blog-be/src/modules/users/users-cleanup.cron.ts", "TypeScript", 30, 6, 7, 43
"/home/generalegg/Project-P/blog-be/src/modules/users/users.controller.ts", "TypeScript", 15, -1, 1, 15
"/home/generalegg/Project-P/blog-be/src/modules/users/users.module.ts", "TypeScript", 1, 0, 0, 1
"/home/generalegg/Project-P/blog-be/src/modules/users/users.service.ts", "TypeScript", 69, -1, 16, 84
"/home/generalegg/Project-P/blog-be/src/utils/access-control.util.ts", "TypeScript", 33, 11, 11, 55
"/home/generalegg/Project-P/blog-be/src/utils/sanitize.util.ts", "TypeScript", 1, 28, 1, 30
"Total", "-", 793, 262, 145, 1200
